id,Internet_habit
SYM2-1-246,46.0
SYM2-1-278,46.0
SYM2-1-285,39.5
SYM2-1-288,46.333333333333336
SYM2-1-301,85.0
SYM2-1-309,50.666666666666664
SYM2-1-325,45.4
SYM2-1-327,36.0
SYM2-1-330,41.333333333333336
SYM2-1-334,34.0
SYM2-1-337,28.0
SYM2-1-341,84.2
SYM2-1-347,34.0
SYM2-1-353,28.0
SYM2-1-357,39.666666666666664
SYM2-1-366,32.5
SYM2-1-370,37.0
SYM2-1-381,46.0
SYM2-1-384,33.0
SYM2-1-396,39.0
SYM2-1-399,32.0
SYM2-1-401,91.25
SYM2-1-403,81.0
SYM2-1-405,59.0
SYM2-1-409,36.666666666666664
SYM2-1-412,73.75
SYM2-1-422,31.666666666666668
SYM2-1-425,30.0
SYM2-1-438,28.5
SYM2-1-445,31.0
SYM2-1-476,28.0
SYM2-1-562,46.666666666666664
SYM2-1-563,41.25
SYM2-1-573,35.0
SYM2-1-574,34.0
SYM2-1-579,47.0
SYM2-1-597,65.0
SYM2-1-610,28.5
SYM2-1-633,51.0
SYM2-1-634,57.5
